订单号,日期,客户,产品,数量,单价,金额,状态
XS-2601,2026-04-03,宏远机械,轴承座 A2,37,268,9916,有效
XS-2602,2026-04-09,天成电子,导轨 L120,18,1340,24120,有效
XS-2603,2026-04-15,宏远机械,联轴器 C7,52,196,10192,有效
XS-2604,2026-04-22,海通物流,托盘 P60,240,87,20880,有效
XS-2605,2026-05-06,天成电子,导轨 L120,26,1340,34840,有效
XS-2606,2026-05-11,瑞丰包装,封箱机 S3,3,7850,23550,有效
XS-2607,2026-05-19,宏远机械,轴承座 A2,44,268,11792,有效
XS-2603,2026-04-15,宏远机械,联轴器 C7,52,196,10192,有效
XS-2608,2026-05-28,海通物流,托盘 P60,180,87,15660,作废
XS-2609,2026-06-02,瑞丰包装,缠绕膜 W50,96,143,13728,有效
XS-2610,2026-06-08,天成电子,控制器 K9,7,4620,32340,有效
XS-2611,2026-06-16,宏远机械,联轴器 C7,63,196,12348,有效
XS-2612,2026-06-24,海通物流,托盘 P60,310,87,26970,有效
